输入,,,输出,,,
时间min,进料量kg/h,进气量m3/h,气化温度℃,H2%,CH4%,CO%
0,34.33536,14.03962,666.06479,9.29032,3.34127,26.875
1,36.09387,14.0267,665.72314,9.01161,3.13268,26.15
2,37.85237,14.01378,665.38148,8.7329,2.9241,25.425
3,39.61087,14.00086,665.03983,8.45419,2.71551,24.7
4,41.36938,13.98794,664.69818,8.17548,2.5368,23.975
5,43.12788,13.97502,664.35652,7.89677,2.37716,23.25
6,44.88639,13.9621,664.01487,7.61806,2.30812,22.525
7,46.64489,13.94918,663.67322,7.33935,2.24746,22.19667
8,48.4034,13.93626,663.33156,7.3048,2.1868,21.8825
9,50.13463,13.92334,662.98991,7.70222,2.17814,21.61188
10,51.48608,13.91042,662.64826,7.75541,2.21645,21.4125
11,52.83754,13.8975,662.3066,7.79877,2.21499,21.21313
12,54.18899,13.88458,661.96495,7.84212,2.20541,21.01375
13,55.54044,13.87166,661.6233,7.81735,2.19583,20.97
14,56.89189,13.85874,661.28164,7.72444,2.18063,20.93778
15,58.24335,13.84582,660.93999,7.63154,2.15828,20.90556
16,59.5948,13.8329,660.59834,7.53864,2.13593,20.87333
17,46.62395,13.81998,660.25668,7.44573,2.11527,20.84111
18,37.51338,13.80706,659.91503,7.43527,2.12613,20.80889
19,32.23816,13.79414,659.57338,7.4714,2.13698,20.77667
20,26.96293,13.78122,659.23172,7.50753,2.14784,20.735
21,21.68771,13.7683,658.89007,7.49699,2.15869,20.648
22,21.23688,13.75538,658.54842,7.47892,2.16955,20.561
23,22.11429,13.74246,658.20676,7.46638,2.1804,20.474
24,22.9917,13.72954,657.86511,7.51455,2.19126,20.387
25,23.86911,13.71662,657.52346,7.56272,2.20211,20.36538
26,24.74652,13.7037,657.1818,7.55616,2.21297,20.35423
27,25.62393,13.69078,656.84015,7.54959,2.22382,20.34308
28,26.50134,13.67786,656.50558,7.54302,2.23468,20.33192
29,27.37875,13.66494,656.50558,7.53645,2.24553,20.32077
30,28.25616,13.65202,656.50558,7.52988,2.25639,20.30962
31,29.13357,13.6391,656.50558,7.52331,2.26724,20.29846
32,30.01098,13.62618,656.50558,7.51674,2.2781,20.28731
33,27.93021,13.61326,656.50558,7.51091,2.28895,20.27615
34,25.81977,13.60034,656.50558,7.5064,2.29924,20.265
35,23.70933,13.58742,656.50558,7.50188,2.30456,20.25385
36,21.5989,13.5745,656.50558,7.49737,2.30988,20.24269
37,20.9535,13.57106,656.50558,7.49285,2.31521,20.23154
38,21.64122,13.58656,656.50558,7.48833,2.32053,20.22038
39,22.32893,13.60207,656.50558,7.48382,2.32585,20.20923
40,23.01665,13.61757,656.50558,7.4793,2.33117,20.19808
41,23.70436,13.63307,656.50558,7.47478,2.33649,20.18692
42,24.39208,13.64858,656.50558,7.47027,2.34181,20.17577
43,25.0798,13.66408,656.50558,7.46575,2.34713,20.16462
44,25.76751,13.67959,656.50558,7.46161,2.35245,20.15346
45,26.45523,13.69509,656.50558,7.4586,2.35281,20.14231
46,27.14294,13.71059,656.50558,7.45559,2.35281,20.13115
47,27.83066,13.7261,656.50558,7.45258,2.35281,20.125
48,28.51837,13.7416,656.50558,7.44957,2.35281,20.125
49,29.20609,13.75711,656.50558,7.44656,2.35281,20.125
50,29.89381,13.77261,656.44362,7.44355,2.35281,20.125
51,29.01151,13.78811,656.20446,7.44054,2.35281,20.125
52,27.61106,13.80362,655.9653,7.43753,2.35281,20.125
53,26.21061,13.81912,655.72615,7.42734,2.35281,20.125
54,24.81017,13.83463,655.48699,7.4165,2.35281,20.125
55,23.40972,13.85013,655.24783,7.40566,2.35281,20.125
56,22.00927,13.86563,655.00867,7.39482,2.35411,20.125
57,20.76086,13.88114,654.76952,7.38399,2.35553,20.125
58,22.27816,13.89664,654.53036,7.37315,2.35695,20.125
59,23.79547,13.91214,654.2912,7.36231,2.35837,20.125
60,25.31277,13.92765,654.05204,7.38396,2.35979,20.125
